<progName>, <input>, <output>
square_brackets/basic.q, 5, 25
square_brackets/nested.q, 5, 50
square_brackets/deepNested.q, 5, 60
square_brackets/compoundWithParenthesis.q, 5, 50
square_brackets/compund.q, 5, 50
var_scoping/fact.q, 5, (5. 120)
var_scoping/fib.q, 6, (6 . 8)
var_scoping/parentScope.q, 6, 36
var_scoping/childScope.q, 6, (0 . nil)
var_scoping/nestedMethodCalls.q, 5, (5 . (6 . 7))
var_scoping/doubleDecl_legal.q, 5 
var_scoping/childScopeNestedIf.q, 5, (((0 . 1002) . 0) . 1001)
var_scoping/childScopeWhile.q, 5, ((30 . 11) . nil) 
typecheck/double_declare.q, <Error>
typecheck/no_main.q, 5, Static checking error: Function main called without definition
typecheck/invalid_main.q, 5, Static checking error: Function main must take one parameter, an integer
typecheck/invalid_main_2.q, 5, Static checking error: Function main must take one parameter, an integer
typecheck/two_main.q, 5, Static checking error: Function main already exists
typecheck/duplicate_methods.q, 5, Static checking error: Function A already exists
typecheck/overloaded_methods.q, 5, Static checking error: Function A already exists
typecheck/method_not_found.q, 5, Static checking error: Function A called without definition
typecheck/missing_return.q, 5, Static checking error: Last statement of A must be a return statement
typecheck/no_return.q, 5, Static checking error: Last statement of A must be a return statement
typecheck/last_stmt_not_return.q, 5, Static checking error: Last statement of A must be a return statement
typecheck/illegal_method_decl.q, 5, Static checking error: Variable param already exists
typecheck/invalid_method_call.q, 5, Static checking error: Type int cannot be converted to type Cell
typecheck/invalid_method_call_2.q, 5, Static checking error: Parameter count mismatch for call to A
typecheck/invalid_method_call_3.q, 5, Static checking error: Parameter count mismatch for call to A
typecheck/reserved_method.q, 5, Static checking error: Function free already exists
typecheck/reserved_method_2.q, 5, Static checking error: Function free already exists
typecheck/invalid_return_type.q, 5, Static checking error: Type Cell cannot be converted to type int
varScoping/childScope_err.q, 5, Static checking error: Variable arg already exists
varscoping/childScope_err_2.q, 5, Static checking error: Variable b already exists
typecheck/mutable_var.q, 5, Static checking error: Can't write to immutable variable b
typecheck/mutable_var_2.q, 5, Static checking error: Can't write to immutable variable c
typecheck/mutable_func.q, 5, Static checking error: Can't call mutable function setLeft from immutable function B




